Taipei,district,name,eligible,threshold 25%,同意票數,不同意票數,last election votes for , Incumbent net G/L vs last election,,
,北3,王鴻薇,"274,312","68,578",76463,86311,"105,050","-18,739",,
,北4,李彥秀,"311,887","77,972",78560,105169,"112,743","-7,574",,
,北6,羅智強,"228,981","57,246",56726,74808,"87,973","-13,165",,
,北7,徐巧芯,"231,139","57,785",108396,132753,"89,727","43,026",,
,北8,賴士葆,"244,753","61,189",55958,86907,"87,099",-192,,
Hualien,花蓮,傅崐萁,"191,367","47,842",48969,65300,"68,786","-3,486",,
New Taipei,新北1,洪孟楷,"405,060","101,265",94808,121592,"158,596","-37,004",,
,新北7,葉元之,"231,042","57,761",63357,66917,"78,134","-11,217",,
,新北8,張智倫,"288,291","72,073",67131,95319,"89,808","5,511",,
,新北9,林德福,"237,380","59,345",51484,83862,"98,260","-14,398",,
,新北12,廖先翔,"266,243","66,561",60944,78798,"92,489","-13,691",,
Taoyuan,桃1,牛煦庭,"354,065","88,517",86734,106637,"116,571","-9,934",,
,桃2,涂權吉,"316,423","79,106",70310,101419,"103,697","-2,278",,
,桃3,魯明哲,"309,001","77,251",66301,105323,"102,056","3,267",,
,桃4,萬美玲,"306,688","76,672",72626,97544,"119,430","-21,886",,
,桃5,呂玉玲,"282,711","70,678",59828,97970,"89,372","8,598",,
,桃6,邱若華,"285,041","71,261",61635,92049,"81,513","10,536",,
Keelung,基隆,林沛祥,"303,980","75,995",65143,96294,91986,"4,308",,
Hsinchu City,竹市(立委),鄭正鈐,"357,063","89,266",89970,119305,"92,014","27,291",,
,竹市(Mayor),高虹安,"360,311","90,078",86291,124360,"98,121","26,239",,
Taichung,中4,廖偉翔,"337,718","84,430",83812,106534,"119,740","-13,206",,
,中5,黃健豪,"374,348","93,587",88914,119540,"134,706","-15,166",,
,中6,羅廷瑋,"277,436","69,359",74012,86422,"103,630","-17,208",,
Taitung,台東,黃建賓,"113,385","28,347",21123,34889,"25,778","9,111",,
Yunlin,雲1,丁學忠,"271,663","67,916",57331,77164,"84,736","-7,572",,
Notes,,,,,,,,,,
,,,,,,,,,,
Source + Credits,,,,,,,,,,
Nathan Batto - Frozen Garlic,,,,,,,,,,
CEC Data  via BBC/Wikipedia,,,,,,,,,,
